log_score,is_anomaly
-68.21137051866666,False
-68.21137051866666,False
-68.21137051866666,False
-70.05531064288557,False
-68.21137051866666,False
-68.21137051866666,False
-68.21137051866666,False
-68.21137051866666,False
-68.21137051866666,False
-70.05531064288557,False
-75.47006699499067,False
-68.21137051866666,False
-70.05531064288557,False
-68.21137051866666,False
-68.21137051866666,False
-82.77655660606703,False
-98.7099561593684,False
-99.62849357249132,False
-97.7845534482724,False
-83.89470334494108,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-83.89470334494108,False
-81.53695242105672,False
-83.38089254527564,False
-81.53695242105672,False
-81.53695242105672,False
-81.53695242105672,False
-81.53695242105672,False
-81.53695242105672,False
-81.53695242105672,False
-77.86308173009957,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-77.86308173009957,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-77.86308173009957,False
-76.01914160588065,False
-76.01914160588065,False
-76.94454431697665,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.94454431697665,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-76.01914160588065,False
-77.86308173009957,False
-77.86308173009957,False
-76.01914160588065,False
-76.01914160588065,False
-77.86308173009957,False
-77.86308173009957,False
-76.01914160588065,False
-228.6943219089859,False
-230.53826203320483,False
-230.53826203320483,False
-228.6943219089859,False
-228.6943219089859,False
-228.6943219089859,False
-230.53826203320483,False
-235.66394287266263,False
-235.66394287266263,False
-235.66394287266263,False
-235.66394287266263,False
-235.66394287266263,False
-235.66394287266263,False
-235.66394287266263,False
-237.50788299688156,False
-237.50788299688156,False
-235.66394287266263,False
-237.50788299688156,False
-237.50788299688156,False
-237.50788299688156,False
-235.66394287266263,False
-254.79687995678458,True
-254.79687995678458,True
-244.8913571768984,True
-243.04741705267946,False
-243.04741705267946,False
-243.04741705267946,False
-244.8913571768984,True
-243.04741705267946,False
-244.8913571768984,True
-243.04741705267946,False
-243.04741705267946,False
-260.6251474044486,True
-258.78120728022975,True
-258.78120728022975,True
-68.21137051866666,False
-68.21137051866666,False
-70.05531064288557,False
-68.21137051866666,False
-68.21137051866666,False
-68.21137051866666,False
-68.21137051866666,False
-70.05531064288557,False
-68.21137051866666,False
-68.21137051866666,False
-68.21137051866666,False
-68.21137051866666,False
-70.05531064288557,False
-68.21137051866666,False
-82.77655660606703,False
-97.7845534482724,False
-97.7845534482724,False
-97.7845534482724,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-82.05076322072216,False
-76.58665595419902,False
-78.43059607841793,False
-78.43059607841793,False
-76.58665595419902,False
-78.43059607841793,False
-76.58665595419902,False
-76.58665595419902,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-75.83812137023773,False
-74.91271865914173,False
-76.75665878336065,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-76.75665878336065,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-75.83812137023773,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-76.75665878336065,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-74.91271865914173,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-225.23851044042806,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-225.23851044042806,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-225.23851044042806,False
-224.31310772933202,False
-226.15704785355095,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-225.23851044042806,False
-224.31310772933202,False
-225.23851044042806,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-225.55319577308666,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-226.15704785355095,False
-224.31310772933202,False
-225.55319577308666,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
-224.31310772933202,False
